Name,Score
batch2_design_164,1.8417
design_33,1.9542
batch2_design_369,2.0331
batch2_design_346,2.0359
batch2_design_71,2.0495
batch2_design_206,2.0703
batch2_design_122,2.072
batch2_design_260,2.0813
batch2_design_281,2.1117
batch2_design_160,2.12
batch2_design_225,2.1596
batch2_design_247,2.1602
batch2_design_188,2.163
batch2_design_285,2.1681
design_18,2.1704
design_2,2.1738
batch2_design_261,2.1739
batch2_design_40,2.1761
batch2_design_251,2.1903
batch2_design_21,2.1993
design_29,2.1997
design_36,2.2079
batch2_design_211,2.213
batch2_design_67,2.2155
batch2_design_275,2.2162
batch2_design_58,2.2176
design_40,2.2186
batch2_design_290,2.2195
batch2_design_70,2.2264
batch2_design_350,2.2324
design_58,2.2421
batch2_design_87,2.2444
batch2_design_14,2.2516
batch2_design_187,2.2525
batch2_design_33,2.2553
batch2_design_315,2.2565
batch2_design_332,2.2604
batch2_design_248,2.2622
batch2_design_193,2.2626
design_52,2.2636
batch2_design_3,2.2669
batch2_design_37,2.269
batch2_design_102,2.2695
batch2_design_326,2.2699
design_63,2.2706
batch2_design_242,2.2716
batch2_design_135,2.2758
batch2_design_357,2.2779
batch2_design_82,2.278
batch2_design_210,2.2813
batch2_design_255,2.2823
batch2_design_84,2.2841
batch2_design_235,2.2894
batch2_design_277,2.2899
batch2_design_366,2.2932
batch2_design_167,2.2933
design_30,2.2934
batch2_design_74,2.2962
batch2_design_136,2.2975
batch2_design_61,2.2986
batch2_design_333,2.3021
batch2_design_132,2.3084
batch2_design_109,2.3087
batch2_design_302,2.3091
batch2_design_177,2.3098
batch2_design_13,2.3127
batch2_design_153,2.3129
batch2_design_90,2.3134
batch2_design_110,2.3154
batch2_design_1,2.3169
batch2_design_68,2.3187
batch2_design_103,2.3195
batch2_design_93,2.3209
batch2_design_213,2.323
design_32,2.3271
batch2_design_336,2.3277
batch2_design_370,2.3287
batch2_design_69,2.3288
batch2_design_29,2.3342
batch2_design_197,2.3369
batch2_design_264,2.3387
batch2_design_296,2.3391
design_17,2.3402
batch2_design_217,2.3403
batch2_design_124,2.3413
batch2_design_230,2.3414
design_19,2.3431
batch2_design_4,2.3442
batch2_design_328,2.3448
design_3,2.347
batch2_design_119,2.3471
batch2_design_176,2.3505
design_6,2.3536
batch2_design_367,2.354
batch2_design_311,2.3553
batch2_design_246,2.3553
design_62,2.3584
batch2_design_28,2.3589
batch2_design_348,2.3623
batch2_design_49,2.3651
batch2_design_99,2.3664
batch2_design_359,2.3666
design_25,2.368
batch2_design_43,2.369
batch2_design_92,2.3691
batch2_design_56,2.3717
batch2_design_337,2.3722
batch2_design_276,2.3725
batch2_design_151,2.3725
batch2_design_360,2.3726
batch2_design_343,2.3734
batch2_design_156,2.375
batch2_design_234,2.3757
batch2_design_147,2.3787
batch2_design_307,2.3791
batch2_design_137,2.3792
batch2_design_46,2.3795
design_0,2.3808
design_34,2.3812
batch2_design_128,2.388
batch2_design_220,2.3885
batch2_design_175,2.3888
batch2_design_236,2.3888
design_21,2.3905
batch2_design_94,2.3916
batch2_design_329,2.3938
batch2_design_161,2.3982
design_45,2.3984
